Entity,Code,Year,Individuals using the Internet (% of population)
Austria,AUT,1990,0.13036938
Austria,AUT,1991,0.25908154
Austria,AUT,1992,0.6428176
Austria,AUT,1993,0.7653427
Austria,AUT,1994,1.393423
Austria,AUT,1995,1.8902105
Austria,AUT,1996,6.9091625
Austria,AUT,1997,9.533975
Austria,AUT,1998,15.421219
Austria,AUT,1999,23.044317
Austria,AUT,2000,33.730133
Austria,AUT,2001,39.18545
Austria,AUT,2002,36.56
Austria,AUT,2003,42.7
Austria,AUT,2004,54.28
Austria,AUT,2005,58
Austria,AUT,2006,63.6
Austria,AUT,2007,69.37
Austria,AUT,2008,72.87
Austria,AUT,2009,73.45
Austria,AUT,2010,75.17
Austria,AUT,2011,78.73999
Austria,AUT,2012,80.02999
Austria,AUT,2013,80.6188
Austria,AUT,2014,80.99583
Austria,AUT,2015,83.94014
Austria,AUT,2016,84.323746
Austria,AUT,2017,87.935585
Austria,AUT,2018,87.47913
Austria,AUT,2019,87.752205
Austria,AUT,2020,87.52943
Austria,AUT,2021,92.52915
Austria,AUT,2022,93.61409
Brazil,BRA,1990,0
Brazil,BRA,1991,0.003288171
Brazil,BRA,1992,0.012946262
Brazil,BRA,1993,0.025498252
Brazil,BRA,1994,0.03767271
Brazil,BRA,1995,0.10513817
Brazil,BRA,1996,0.45078918
Brazil,BRA,1997,0.78607917
Brazil,BRA,1998,1.477875
Brazil,BRA,1999,2.0387323
Brazil,BRA,2000,2.870685
Brazil,BRA,2001,4.528495
Brazil,BRA,2002,9.1494255
Brazil,BRA,2003,13.207586
Brazil,BRA,2004,19.073671
Brazil,BRA,2005,21.022747
Brazil,BRA,2006,28.178381
Brazil,BRA,2007,30.88
Brazil,BRA,2008,33.83
Brazil,BRA,2009,39.22
Brazil,BRA,2010,40.65
Brazil,BRA,2011,45.69
Brazil,BRA,2012,48.56
Brazil,BRA,2013,51.04
Brazil,BRA,2014,54.551003
Brazil,BRA,2015,58.327953
Brazil,BRA,2016,60.87254
Brazil,BRA,2017,67.47128
Brazil,BRA,2018,70.43428
Brazil,BRA,2019,73.91244
Brazil,BRA,2020,81.3427
Brazil,BRA,2021,80.689896
Brazil,BRA,2022,80.52775
Canada,CAN,1990,0.3609997
Canada,CAN,1991,0.57038593
Canada,CAN,1992,0.91598105
Canada,CAN,1993,1.1845576
Canada,CAN,1994,2.3786938
Canada,CAN,1995,4.163525
Canada,CAN,1996,6.7602396
Canada,CAN,1997,15.072357
Canada,CAN,1998,24.8974
Canada,CAN,1999,36.18644
Canada,CAN,2000,51.3
Canada,CAN,2001,60.2
Canada,CAN,2002,61.5933
Canada,CAN,2003,64.2
Canada,CAN,2004,65.95596
Canada,CAN,2005,71.66
Canada,CAN,2006,72.4
Canada,CAN,2007,73.2
Canada,CAN,2008,76.7
Canada,CAN,2009,80.3
Canada,CAN,2010,80.3
Canada,CAN,2011,83
Canada,CAN,2012,83
Canada,CAN,2013,85.8
Canada,CAN,2014,87.12
Canada,CAN,2015,90
Canada,CAN,2016,91.16
Canada,CAN,2017,92.70137
Canada,CAN,2018,94.64
Canada,CAN,2019,91.912895
Canada,CAN,2020,92.3
Canada,CAN,2021,92.834015
China,CHN,1990,0
China,CHN,1991,0
China,CHN,1992,0
China,CHN,1993,0.00016868
China,CHN,1994,0.001168115
China,CHN,1995,0.00495471
China,CHN,1996,0.013081692
China,CHN,1997,0.03239486
China,CHN,1998,0.1685403
China,CHN,1999,0.70818794
China,CHN,2000,1.7759132
China,CHN,2001,2.63965
China,CHN,2002,4.5957046
China,CHN,2003,6.2
China,CHN,2004,7.3
China,CHN,2005,8.523257
China,CHN,2006,10.523152
China,CHN,2007,16
China,CHN,2008,22.6
China,CHN,2009,28.9
China,CHN,2010,34.3
China,CHN,2011,38.3
China,CHN,2012,42.300117
China,CHN,2013,45.8
China,CHN,2014,47.9
China,CHN,2015,50.3
China,CHN,2016,53.2
China,CHN,2017,54.3
China,CHN,2018,59.2
China,CHN,2019,64.08088
China,CHN,2020,70.05276
China,CHN,2021,73.05324
China,CHN,2022,75.61131
Colombia,COL,1990,0
Colombia,COL,1991,0
Colombia,COL,1992,0
Colombia,COL,1993,0
Colombia,COL,1994,0.10717394
Colombia,COL,1995,0.18804678
Colombia,COL,1996,0.33001778
Colombia,COL,1997,0.550521
Colombia,COL,1998,1.1262252
Colombia,COL,1999,1.6977308
Colombia,COL,2000,2.207533
Colombia,COL,2001,2.8542
Colombia,COL,2002,4.6
Colombia,COL,2003,7.3889236
Colombia,COL,2004,9.1186905
Colombia,COL,2005,11.007264
Colombia,COL,2006,15.341675
Colombia,COL,2007,21.8
Colombia,COL,2008,25.6
Colombia,COL,2009,30
Colombia,COL,2010,36.5
Colombia,COL,2011,40.350914
Colombia,COL,2012,48.98
Colombia,COL,2013,51.7
Colombia,COL,2014,52.57
Colombia,COL,2015,55.904972
Colombia,COL,2016,58.136494
Colombia,COL,2017,62.25988
Colombia,COL,2018,64.12637
Colombia,COL,2019,65.0069
Colombia,COL,2020,69.795334
Colombia,COL,2021,73.02837
Colombia,COL,2022,72.79638
Finland,FIN,1990,0.40108767
Finland,FIN,1991,1.3974394
Finland,FIN,1992,1.8868798
Finland,FIN,1993,2.5684614
Finland,FIN,1994,4.9150987
Finland,FIN,1995,13.900304
Finland,FIN,1996,16.780075
Finland,FIN,1997,19.458683
Finland,FIN,1998,25.452524
Finland,FIN,1999,32.295094
Finland,FIN,2000,37.248463
Finland,FIN,2001,43.105362
Finland,FIN,2002,62.43
Finland,FIN,2003,69.22
Finland,FIN,2004,72.39
Finland,FIN,2005,74.48
Finland,FIN,2006,79.66
Finland,FIN,2007,80.78
Finland,FIN,2008,83.67
Finland,FIN,2009,82.49
Finland,FIN,2010,86.89
Finland,FIN,2011,88.70999
Finland,FIN,2012,89.88
Finland,FIN,2013,91.5144
Finland,FIN,2014,86.530396
Finland,FIN,2015,86.422134
Finland,FIN,2016,87.70365
Finland,FIN,2017,87.468925
Finland,FIN,2018,88.88996
Finland,FIN,2019,89.60738
Finland,FIN,2020,92.17027
Finland,FIN,2021,92.80806
Finland,FIN,2022,92.98879
France,FRA,1990,0.05277786
France,FRA,1991,0.14011389
France,FRA,1992,0.27904946
France,FRA,1993,0.5906194
France,FRA,1994,0.8998674
France,FRA,1995,1.6379472
France,FRA,1996,2.584034
France,FRA,1997,4.255004
France,FRA,1998,6.319779
France,FRA,1999,9.125318
France,FRA,2000,14.307924
France,FRA,2001,26.325903
France,FRA,2002,30.18
France,FRA,2003,36.14
France,FRA,2004,39.15
France,FRA,2005,42.87
France,FRA,2006,46.87
France,FRA,2007,66.09
France,FRA,2008,70.68
France,FRA,2009,71.58
France,FRA,2010,77.28
France,FRA,2011,77.82
France,FRA,2012,81.44
France,FRA,2013,81.9198
France,FRA,2014,83.75
France,FRA,2015,78.006035
France,FRA,2016,79.26981
France,FRA,2017,80.50246
France,FRA,2018,82.04319
France,FRA,2019,83.339745
France,FRA,2020,84.706406
France,FRA,2021,86.09549
France,FRA,2022,85.33331
Germany,DEU,1990,0.12589222
Germany,DEU,1991,0.25027415
Germany,DEU,1992,0.4352853
Germany,DEU,1993,0.4636351
Germany,DEU,1994,0.922541
Germany,DEU,1995,1.8377378
Germany,DEU,1996,3.0548053
Germany,DEU,1997,6.7110877
Germany,DEU,1998,9.877852
Germany,DEU,1999,20.845984
Germany,DEU,2000,30.216347
Germany,DEU,2001,31.65094
Germany,DEU,2002,48.82
Germany,DEU,2003,55.9
Germany,DEU,2004,64.73
Germany,DEU,2005,68.71
Germany,DEU,2006,72.16
Germany,DEU,2007,75.16
Germany,DEU,2008,78
Germany,DEU,2009,79
Germany,DEU,2010,82
Germany,DEU,2011,81.27
Germany,DEU,2012,82.35
Germany,DEU,2013,84.17
Germany,DEU,2014,86.19
Germany,DEU,2015,87.5898
Germany,DEU,2016,84.16521
Germany,DEU,2017,84.39416
Germany,DEU,2018,87.03711
Germany,DEU,2019,88.134514
Germany,DEU,2020,89.81294
Germany,DEU,2021,91.43061
Germany,DEU,2022,91.629845
Hong Kong,HKG,1990,0
Hong Kong,HKG,1991,0.120955445
Hong Kong,HKG,1992,0.8495279
Hong Kong,HKG,1993,1.334568
Hong Kong,HKG,1994,2.7841983
Hong Kong,HKG,1995,3.2186356
Hong Kong,HKG,1996,4.748839
Hong Kong,HKG,1997,10.518757
Hong Kong,HKG,1998,14.5459795
Hong Kong,HKG,1999,21.230682
Hong Kong,HKG,2000,27.82776
Hong Kong,HKG,2001,38.671402
Hong Kong,HKG,2002,43.082382
Hong Kong,HKG,2003,52.200043
Hong Kong,HKG,2004,56.39988
Hong Kong,HKG,2005,56.9
Hong Kong,HKG,2006,60.8
Hong Kong,HKG,2007,64.8
Hong Kong,HKG,2008,66.7
Hong Kong,HKG,2009,69.4
Hong Kong,HKG,2010,72
Hong Kong,HKG,2011,72.2
Hong Kong,HKG,2012,72.9
Hong Kong,HKG,2013,74.2
Hong Kong,HKG,2014,79.86627
Hong Kong,HKG,2015,84.94836
Hong Kong,HKG,2016,87.479416
Hong Kong,HKG,2017,89.41595
Hong Kong,HKG,2018,90.50739
Hong Kong,HKG,2019,91.7434
Hong Kong,HKG,2020,92.41314
Hong Kong,HKG,2021,93.08716
Hong Kong,HKG,2022,95.61357
India,IND,1990,0
India,IND,1991,0
India,IND,1992,0.000111308
India,IND,1993,0.000218176
India,IND,1994,0.001069562
India,IND,1995,0.026228879
India,IND,1996,0.046333976
India,IND,1997,0.07076785
India,IND,1998,0.13902733
India,IND,1999,0.27322426
India,IND,2000,0.52753246
India,IND,2001,0.66014636
India,IND,2002,1.5378755
India,IND,2003,1.6864899
India,IND,2004,1.9761364
India,IND,2005,2.388075
India,IND,2006,2.8054998
India,IND,2007,3.95
India,IND,2008,4.38
India,IND,2009,5.12
India,IND,2010,7.5
India,IND,2011,10.07
India,IND,2012,11.1
India,IND,2013,12.3
India,IND,2014,13.5
India,IND,2015,14.9
India,IND,2016,16.5
India,IND,2017,18.2
India,IND,2018,20.0813
India,IND,2019,29.523512
India,IND,2020,43.40544
India,IND,2021,46.31
Indonesia,IDN,1990,0
Indonesia,IDN,1991,0
Indonesia,IDN,1992,0
Indonesia,IDN,1993,0
Indonesia,IDN,1994,0.001059744
Indonesia,IDN,1995,0.026109478
Indonesia,IDN,1996,0.056623988
Indonesia,IDN,1997,0.19491026
Indonesia,IDN,1998,0.25530663
Indonesia,IDN,1999,0.44441593
Indonesia,IDN,2000,0.9255639
Indonesia,IDN,2001,2.0186138
Indonesia,IDN,2002,2.1341357
Indonesia,IDN,2003,2.3870199
Indonesia,IDN,2004,2.6002858
Indonesia,IDN,2005,3.6020248
Indonesia,IDN,2006,4.764813
Indonesia,IDN,2007,5.786275
Indonesia,IDN,2008,7.9174795
Indonesia,IDN,2009,6.92
Indonesia,IDN,2010,10.92
Indonesia,IDN,2011,12.28
Indonesia,IDN,2012,14.52
Indonesia,IDN,2013,14.94
Indonesia,IDN,2014,17.14
Indonesia,IDN,2015,22.062742
Indonesia,IDN,2016,25.447353
Indonesia,IDN,2017,32.335808
Indonesia,IDN,2018,39.90464
Indonesia,IDN,2019,47.690647
Indonesia,IDN,2020,53.726494
Indonesia,IDN,2021,62.104477
Indonesia,IDN,2022,66.48461
Italy,ITA,1990,0.017544562
Italy,ITA,1991,0.035063256
Italy,ITA,1992,0.070053436
Italy,ITA,1993,0.12246206
Italy,ITA,1994,0.19230463
Italy,ITA,1995,0.5244128
Italy,ITA,1996,1.0232899
Italy,ITA,1997,2.276738
Italy,ITA,1998,4.5585194
Italy,ITA,1999,14.37841
Italy,ITA,2000,23.110874
Italy,ITA,2001,27.222116
Italy,ITA,2002,28.04
Italy,ITA,2003,29.04
Italy,ITA,2004,33.24
Italy,ITA,2005,35
Italy,ITA,2006,37.99
Italy,ITA,2007,40.79
Italy,ITA,2008,44.53
Italy,ITA,2009,48.83
Italy,ITA,2010,53.68
Italy,ITA,2011,54.39
Italy,ITA,2012,55.829998
Italy,ITA,2013,58.4593
Italy,ITA,2014,55.638462
Italy,ITA,2015,58.141735
Italy,ITA,2016,61.324253
Italy,ITA,2017,63.077347
Italy,ITA,2018,74.387184
Italy,ITA,2019,67.85071
Italy,ITA,2020,70.48343
Italy,ITA,2021,74.86233
Italy,ITA,2022,85.060745
Lithuania,LTU,1990,0
Lithuania,LTU,1991,0
Lithuania,LTU,1992,0
Lithuania,LTU,1993,0
Lithuania,LTU,1994,0
Lithuania,LTU,1995,0
Lithuania,LTU,1996,0.2774213
Lithuania,LTU,1997,0.97842216
Lithuania,LTU,1998,1.9720638
Lithuania,LTU,1999,2.9230547
Lithuania,LTU,2000,6.4270673
Lithuania,LTU,2001,7.179357
Lithuania,LTU,2002,17.69
Lithuania,LTU,2003,25.91
Lithuania,LTU,2004,31.23
Lithuania,LTU,2005,36.22
Lithuania,LTU,2006,43.9
Lithuania,LTU,2007,49.9
Lithuania,LTU,2008,55.22
Lithuania,LTU,2009,59.76
Lithuania,LTU,2010,62.12
Lithuania,LTU,2011,63.639977
Lithuania,LTU,2012,67.22999
Lithuania,LTU,2013,68.4529
Lithuania,LTU,2014,72.13
Lithuania,LTU,2015,71.37806
Lithuania,LTU,2016,74.37665
Lithuania,LTU,2017,77.61526
Lithuania,LTU,2018,79.72258
Lithuania,LTU,2019,81.58187
Lithuania,LTU,2020,83.05555
Lithuania,LTU,2021,86.93054
Lithuania,LTU,2022,87.724205
Singapore,SGP,1990,0
Singapore,SGP,1991,0.16150449
Singapore,SGP,1992,0.47136816
Singapore,SGP,1993,0.7632781
Singapore,SGP,1994,1.1852038
Singapore,SGP,1995,2.8734188
Singapore,SGP,1996,8.349959
Singapore,SGP,1997,13.471621
Singapore,SGP,1998,19.590767
Singapore,SGP,1999,24.155437
Singapore,SGP,2000,36
Singapore,SGP,2001,41.670425
Singapore,SGP,2002,47
Singapore,SGP,2003,53.837944
Singapore,SGP,2004,62
Singapore,SGP,2005,61
Singapore,SGP,2006,59
Singapore,SGP,2007,69.9
Singapore,SGP,2008,69
Singapore,SGP,2009,69
Singapore,SGP,2010,71
Singapore,SGP,2011,71
Singapore,SGP,2012,72
Singapore,SGP,2013,80.902054
Singapore,SGP,2014,82.1
Singapore,SGP,2015,83.2
Singapore,SGP,2016,84.45227
Singapore,SGP,2017,84.45227
Singapore,SGP,2018,88.165634
Singapore,SGP,2019,88.94925
Singapore,SGP,2020,92.00435
Singapore,SGP,2021,96.92468
Singapore,SGP,2022,95.953865
South Korea,KOR,1990,0.023265092
South Korea,KOR,1991,0.046124436
South Korea,KOR,1992,0.09840434
South Korea,KOR,1993,0.24994652
South Korea,KOR,1994,0.31135938
South Korea,KOR,1995,0.81968665
South Korea,KOR,1996,1.6242372
South Korea,KOR,1997,3.6008015
South Korea,KOR,1998,6.7818155
South Korea,KOR,1999,23.552195
South Korea,KOR,2000,44.7
South Korea,KOR,2001,56.6
South Korea,KOR,2002,59.4
South Korea,KOR,2003,65.5
South Korea,KOR,2004,72.7
South Korea,KOR,2005,73.5
South Korea,KOR,2006,78.1
South Korea,KOR,2007,78.8
South Korea,KOR,2008,81
South Korea,KOR,2009,81.6
South Korea,KOR,2010,83.7
South Korea,KOR,2011,83.75912
South Korea,KOR,2012,84.07
South Korea,KOR,2013,84.77
South Korea,KOR,2014,87.55682
South Korea,KOR,2015,89.896255
South Korea,KOR,2016,92.843025
South Korea,KOR,2017,95.06942
South Korea,KOR,2018,96.02286
South Korea,KOR,2019,96.15758
South Korea,KOR,2020,96.50506
South Korea,KOR,2021,97.57133
South Korea,KOR,2022,97.16856
United States,USA,1990,0.7847285
United States,USA,1991,1.1631937
United States,USA,1992,1.7242025
United States,USA,1993,2.2716732
United States,USA,1994,4.8627806
United States,USA,1995,9.237088
United States,USA,1996,16.419353
United States,USA,1997,21.616402
United States,USA,1998,30.093197
United States,USA,1999,35.848724
United States,USA,2000,43.079163
United States,USA,2001,49.080833
United States,USA,2002,58.785404
United States,USA,2003,61.697117
United States,USA,2004,64.758255
United States,USA,2005,67.968056
United States,USA,2006,68.93119
United States,USA,2007,75
United States,USA,2008,74
United States,USA,2009,71
United States,USA,2010,71.69
United States,USA,2011,69.72946
United States,USA,2012,74.7
United States,USA,2013,71.4
United States,USA,2014,73
United States,USA,2015,74.5542
United States,USA,2016,85.54442
United States,USA,2017,87.27489
United States,USA,2018,88.4989
United States,USA,2019,89.43028
United States,USA,2020,90.62047
United States,USA,2021,91.75321